final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
896878,2019-03-26,"Intuit, Inc.",final_cik,896878.0,22.0,ok,2017-03-26,2019-09-22,,,
896878,2019-04-07,Intuit Inc.,final_cik,896878.0,22.0,ok,2017-04-07,2019-10-13,,,
896878,2019-04-16,Intuit,final_cik,896878.0,22.0,ok,2017-04-16,2019-10-13,,,
896878,2019-09-20,Intuit Inc,final_cik,896878.0,26.0,ok,2017-09-20,2020-08-19,,,
896878,2020-03-31,Intuit,final_cik,896878.0,21.0,ok,2018-04-01,2020-09-27,,,
896878,2020-04-12,Intuit Inc.,final_cik,896878.0,22.0,ok,2018-04-13,2020-11-09,,,
896878,2022-02-06,Intuit Inc,final_cik,896878.0,29.0,ok,2020-02-07,2022-10-11,,,
896878,2022-04-15,Intuit Inc.,final_cik,896878.0,26.0,ok,2020-04-15,2022-10-12,,,
896878,2023-01-01,Intuit Inc.,final_cik,896878.0,31.0,ok,2021-01-01,2024-03-13,,,
896878,2023-06-04,Intuit Inc,final_cik,896878.0,31.0,ok,2021-06-04,2024-09-11,,,
896878,2023-12-01,Intuit Inc.,final_cik,896878.0,25.0,ok,2021-12-01,2024-09-11,,,
896878,2024-01-29,Intuit Inc.,final_cik,896878.0,28.0,ok,2022-01-29,2025-05-07,,,
